id,title,category,price,color,inStock,img_one,img_two,img_three,img_four
1000460275,Nike Air Force 1 High '07 LV8,Men's Shoes,145,Grey,True,https://static.nike.com/a/images/t_default/3727d0f9-a6d1-4ee9-993c-9aac2fd0b65b/air-force-1-high-07-lv8-mens-shoes-lR6frj.png,https://static.nike.com/a/images/t_default/60900802-85de-4d61-bb36-41f493ee6a6c/air-force-1-high-07-lv8-mens-shoes-lR6frj.png,https://static.nike.com/a/images/t_default/5eb58c0d-9d16-4289-a991-0edd182abd11/air-force-1-high-07-lv8-mens-shoes-lR6frj.png,https://static.nike.com/a/images/t_default/d9c2b9d8-eb5a-40a8-9f9f-33a91076a8b8/air-force-1-high-07-lv8-mens-shoes-lR6frj.png
1011845456,Nike Force 1 LV8,Baby/Toddler Shoes,65,White,True,https://static.nike.com/a/images/t_default/79050cac-e418-4704-9c19-900239ce308c/force-1-lv8-baby-toddler-shoes-rGHNkl.png,https://static.nike.com/a/images/t_default/1f79d94e-df66-4189-af24-2583d16768d2/force-1-lv8-baby-toddler-shoes-rGHNkl.png,https://static.nike.com/a/images/t_default/7a55c729-03c2-4c38-bfa4-b39473b0443e/force-1-lv8-baby-toddler-shoes-rGHNkl.png,https://static.nike.com/a/images/t_default/01dc69a7-c9a8-4919-9f95-288c437e9bcf/force-1-lv8-baby-toddler-shoes-rGHNkl.png
1009174604,Nike Air Force 1 Impact Next Nature,Big Kids' Shoes,95,White,True,https://static.nike.com/a/images/t_default/fadc6410-f705-4e63-88f4-3cc9da41eb13/air-force-1-impact-next-nature-big-kids-shoes-617Rzw.png,https://static.nike.com/a/images/t_default/cfeb7122-9fbe-43df-a226-b3d10abbf9a7/air-force-1-impact-next-nature-big-kids-shoes-617Rzw.png,https://static.nike.com/a/images/t_default/81e81d8b-c917-4a1f-b5b3-03f720ab0142/air-force-1-impact-next-nature-big-kids-shoes-617Rzw.png,https://static.nike.com/a/images/t_default/5ae75845-e89d-4e48-b6b5-1fc9d049fa37/air-force-1-impact-next-nature-big-kids-shoes-617Rzw.png
1012584829,Nike Air Force 1,Big Kids' Shoes,90,Black,True,https://static.nike.com/a/images/t_default/07c64825-abdf-4aa6-a1d8-f6e3186dff40/air-force-1-big-kids-shoes-lTcPjk.png,https://static.nike.com/a/images/t_default/8f6d1880-687a-42a1-95bc-cfd2b3c1209b/air-force-1-big-kids-shoes-lTcPjk.png,https://static.nike.com/a/images/t_default/11873d78-8a09-49de-9446-8ebcabd5d824/air-force-1-big-kids-shoes-lTcPjk.png,https://static.nike.com/a/images/t_default/79b8d0d7-c63c-458e-8f6f-f1c7845dc103/air-force-1-big-kids-shoes-lTcPjk.png
1011876292,Nike Force 1 LV8,Little Kids' Shoes,80,White,True,https://static.nike.com/a/images/t_default/fa86d330-d2bb-4781-b27a-20ea70d7d9f3/force-1-lv8-little-kids-shoes-pffsZV.png,https://static.nike.com/a/images/t_default/149c54f2-0d33-4229-a496-89f78b8a4d6b/force-1-lv8-little-kids-shoes-pffsZV.png,https://static.nike.com/a/images/t_default/423c357c-243c-435b-b0bf-4e7682639a0e/force-1-lv8-little-kids-shoes-pffsZV.png,https://static.nike.com/a/images/t_default/df2e3296-5ee1-41cb-adb5-b06711a928e5/force-1-lv8-little-kids-shoes-pffsZV.png
13130487,Nike Force 1 LE,Baby/Toddler Shoe,55,Black,True,https://static.nike.com/a/images/t_default/9386d0f0-65a0-47a5-bce2-e14ebb8c5caa/force-1-le-baby-toddler-shoe-8WvsS7.png,https://static.nike.com/a/images/t_default/02115510-342f-43d0-bf92-d3a6a4d5e920/force-1-le-baby-toddler-shoe-8WvsS7.png,https://static.nike.com/a/images/t_default/8fa62e85-cd97-475d-b2e8-b2b5e7620412/force-1-le-baby-toddler-shoe-8WvsS7.png,https://static.nike.com/a/images/t_default/b263fd84-26a9-4d97-a971-6103cfe2e207/force-1-le-baby-toddler-shoe-8WvsS7.png
1007528992,Nike Air Force 1 Low x Premium Goods,Women's Shoes,150,Brown,True,https://static.nike.com/a/images/t_default/301aec63-5b12-4e89-abd9-b7041943bc7f/air-force-1-low-x-premium-goods-womens-shoes-CJgM2f.png,https://static.nike.com/a/images/t_default/0f578762-f300-4e75-8395-5a88a6af9bd0/air-force-1-low-x-premium-goods-womens-shoes-CJgM2f.png,https://static.nike.com/a/images/t_default/0890e48f-e219-40a3-9f50-00040df38979/air-force-1-low-x-premium-goods-womens-shoes-CJgM2f.png,https://static.nike.com/a/images/t_default/1e96a3f1-c4a0-4e2d-a349-c6568c30ef03/air-force-1-low-x-premium-goods-womens-shoes-CJgM2f.png
1011843086,Nike J Force 1 Low LX SP,Women's Shoes,170,Black,True,https://static.nike.com/a/images/t_default/88ef98c4-3b86-4973-924f-66580025026f/j-force-1-low-lx-sp-womens-shoes-mj8RZW.png,https://static.nike.com/a/images/t_default/33eea145-aa10-4aed-9d10-a33c6ab95f74/j-force-1-low-lx-sp-womens-shoes-mj8RZW.png,https://static.nike.com/a/images/t_default/ef088dbd-e2d7-4a65-b24f-8a3feb130857/j-force-1-low-lx-sp-womens-shoes-mj8RZW.png,https://static.nike.com/a/images/t_default/dc8fd406-9034-4c7b-8b03-396de1ce565d/j-force-1-low-lx-sp-womens-shoes-mj8RZW.png
14234842,Nike Air Force 1 '07 SE,Women's Shoes,120,Grey,True,https://static.nike.com/a/images/t_default/3e5fbe25-a732-4a52-b719-d3b37f2b5149/air-force-1-07-se-womens-shoes-bt2vW8.png,https://static.nike.com/a/images/t_default/07417a3c-4e3c-40da-9232-62d439ae5dea/air-force-1-07-se-womens-shoes-bt2vW8.png,https://static.nike.com/a/images/t_default/9a883cd3-3194-46c4-b6d7-dfee600233be/air-force-1-07-se-womens-shoes-bt2vW8.png,https://static.nike.com/a/images/t_default/7379e97c-2f70-4a86-af4b-1b37da6593cd/air-force-1-07-se-womens-shoes-bt2vW8.png
1011845682,Nike Air Force 1 Low Premium,Men's Shoes,150,Blue,True,https://static.nike.com/a/images/t_default/e5b32370-789f-40d7-bdbe-1ec71d7b7618/air-force-1-low-premium-mens-shoes-5pqGTW.png,https://static.nike.com/a/images/t_default/83a93b62-aa86-488d-948e-2b5b7427ae1e/air-force-1-low-premium-mens-shoes-5pqGTW.png,https://static.nike.com/a/images/t_default/f3ec87bc-1dae-4565-887e-33c062bdb285/air-force-1-low-premium-mens-shoes-5pqGTW.png,https://static.nike.com/a/images/t_default/c2692963-2fcc-4818-9c6e-176f47cc533f/air-force-1-low-premium-mens-shoes-5pqGTW.png
1010126406,"Nike Air Force 1 '07 ""ATL""",Men's Shoes,130,Red,True,https://static.nike.com/a/images/t_default/938e795c-91e1-4c18-99a1-24b9298fc222/air-force-1-07-atl-mens-shoes-BvGcPl.png,https://static.nike.com/a/images/t_default/7c07a8fd-9c4e-4260-9d5e-746619d833c8/air-force-1-07-atl-mens-shoes-BvGcPl.png,https://static.nike.com/a/images/t_default/1f6c472b-a8e0-4f97-b136-7f1e3cb2861a/air-force-1-07-atl-mens-shoes-BvGcPl.png,https://static.nike.com/a/images/t_default/e7d4ee70-5805-43b3-b552-b22e2d243422/air-force-1-07-atl-mens-shoes-BvGcPl.png
1010170761,Nike Force 1 LV8 2,Little Kids' Shoes,75,Orange,True,https://static.nike.com/a/images/t_default/d4287483-b80e-4fb0-b8b1-5b87b922a79c/force-1-lv8-2-little-kids-shoes-T152dT.png,https://static.nike.com/a/images/t_default/9c0b9dff-32bb-43be-b26d-0bf222a82a33/force-1-lv8-2-little-kids-shoes-T152dT.png,https://static.nike.com/a/images/t_default/0584fd42-8335-4652-820e-43df848f308f/force-1-lv8-2-little-kids-shoes-T152dT.png,https://static.nike.com/a/images/t_default/4b524255-a6e4-48de-9c91-d0c9a28d3952/force-1-lv8-2-little-kids-shoes-T152dT.png
